연번,제목,날짜,글 내용,댓글 내용
1,PC 조립 문의드립니다 ~,2024.06.26 15:44,제가 Daven just 케이스를 구매했습니다. 근데 안에 케이스 팬이 1개밖에 안들어있어서 케이스 팬을 사야하는데 케이스 안에 내장 팬도 교체를 해야하나요 ? 그리고 전면에 3개 상단에 2개 달려고 하는데 쿨러를 어떤 쿨러를 사야할지 고민입니다. 추천 부탁드려요,왠만하면 문제없을 것 같은데요~ pc사양이 어떻게 되실까요? || 굳이 랄까요? 어떤 조합일지 알수는 없지만 그렇게 발열이 높은 조합이 아니시라면 기본팬만으로 충분 하긴 할 겁니다. 상단은 있으면 좋긴 한데 그래도 전면2-3개는 장착을 해주시는게 좋긴 할 것 같네요 ARGB 팬을 구성하실 꺼라면 3rsys GI 120 argb / ARCTIC P12 ARGB 일반 팬 구성을 하실 꺼라면 ARCTIC P12 PWM 제품으로 추천드립니다.
2,견적 짜봤는데 괜찮은지 봐줄 고수님 구해용,2024.06.26 15:22,안녕하세요. 오랜만에 지인 컴 봐줄라고 짜봤는데 괜찮을지 모르겠네요... 150 언저리이며 어느정도 높아도 낮아도 상관없다고 했고 게임 및 작업용이라하네요. 화이트 감성을 원해서 그 위주로 짜봤어요. 이쁜 화이트 케이스나 제품 있으면 추천 해주시면 감사하겠습니다. 바꿀만한 제품이나 효율적인 견적 있으면 조언 바랍니다~!,DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 ESSENCORE / PATRIOT / TeamGroup / GEIL (SK하이닉스 선별 제품) 사 메모리로 구성하시는 편을 추천드립니다 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요! https://pf.kakao.com/_epfZb || 작업은 어떤 작업을 위주로 해주실까요?
3,견적 짜봤는데 괜찮은지 봐줄 고수님 구해용,2024.06.26 15:22,안녕하세요. 오랜만에 지인 컴 봐줄라고 짜봤는데 괜찮을지 모르겠네요... 150 언저리이며 어느정도 높아도 낮아도 상관없다고 했고 게임 및 작업용이라하네요. 화이트 감성을 원해서 그 위주로 짜봤어요. 이쁜 화이트 케이스나 제품 있으면 추천 해주시면 감사하겠습니다. 바꿀만한 제품이나 효율적인 견적 있으면 조언 바랍니다~!,"안녕하세요, 신뢰을 조립하는 컴퓨티파이 입니다! 고민 중이신 견적 확인하였습니다. 컴퓨터를 정말 좋아해서 모인 컴퓨티파이답게 내가 집에서 사용할 피씨 조립한다는 생각으로 하나씩 조립해가고 있습니다 AMD 라이젠 7600 / 7500F 게임 프레임 차이가 없으나 라이젠 7600 발열이 있는 편이라서 AMD 라이젠 """" 7500F """" + RTX 4060 Ti """" 구성으로 권장 드려용 !! 고려 중이신 예산으로 사용 용도를 견적을 구성하였습니다. 고민 해보시구 언제든 카톡 주시면 친절하게 안내 드리겠습니다! || 작업이라 하신다면 어떤 프로그렘을 사용하는 작업이실지요? 추가적으로 주로 어떤 게임을 하실지도 알면 좋을 것 같습니다. 우선 현 구성이라면 인코딩 + 랜더링 기반 작업이면서 CPU 성능을 주로 사용하는 작업을 하신다면 7500F vs 7600 기준 약간의 차이는 발생하겠지만 쿨러 구성까지 더 투자를 해야하는 걸 고려한다면 크게 메리트가 있어보이진 않습니다 메모리는 지금 구성하신 제품이 방열판도 달려 있고 이슈가 발생 한 이후 개선판이 나온 시점부터는 불량률이 0%대로 매우 낮은 모델입니다. 가성비도 좋은 부분이구요 ^^ 다만 , 해당 제품 보다는 일반 마이크론 5600 메모리에 화이트 방열판을 장착해 주시는게"
4,7500f + 4070ti super 이렇게 사도 될까요?,2024.06.26 15:22,"행사하는 제품이 있어서 구매하려고 하는데 어떤가요? 호그와트, 발더스게이트3 등 스팀게임 주로 하고 모니터는 삼성 오디세이 g5 32인치 사용중입니다 행사 제품이라서 cpu 변경은 안되고 그래픽은 4070 super로 변경 가능합니다","안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 최대예산이 얼마 인지 알수가 없습니다 ㅠㅠ 최대예산이 200만원대 중반까지 가능하신거라면 AMD 라이젠 7800X3D + RTX 4070 TI SUPER 까지도 문제없이 구성이 가능합니다 ^^ 들어가있는 SSD제품은 PCIE3.0제품이며 구성해주신 PCIE4.0환경에서는 || https://quasarzone.com/bbs/qf_hwjoin/views/1966125 위 링크 보시는 것처럼 PC 1대당 3시간 이상 정밀 테스트를 진행하고 있는 입장으로써 지금까지 테스트 후, 출고되는 모든 PC들 데이터를 종합해서 말씀드리자면 DDR5 기준 SK하이닉스 칩셋 기반 메모리가 가장 안정성이 높고 호환성이 좋습니다. 가급적 SK하이닉스 칩셋 기반의 메모리로 구성하시는 편을 추천드립니다. 5600 CL46 기준 하이닉스 칩셋 기반 메모리 목록 SK하이닉스, ESSENCORE, PATRIOT, TeamGroup, GeIL 그 외 메모리는 기타 IC 칩셋 기반입니다. 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요! http://pf.kakao.com/_epfZb/chat"
5,7800x3d+4070ti s이륙해도 될까요?,2024.06.26 15:19,CPU -AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩(정품)) 쿨러/튜닝 -장우컴퍼니 JW-HTK01 M.2 방열판 -Thermalright Peerless Assassin 120 SE 서린 메인보드 -ASRock B650M PG Riptide 대원씨티에스 메모리 -ESSENCORE KLEVV DDR5-6000 CL30 BOLT V 패키지 서린 (32GB(16Gx2)) 그래픽카드 -이엠텍 지포스 RTX 4070 Ti SUPER BLACK STORM OC D6X 16GB SSD -SK하이닉스 Platinum P41 M.2 NVMe (1TB) 케이스 -DAVEN SIX FLOW (블랙) 파워 -NEWZEN SKULL 850SM 모듈러 ATX3.0 80PLUS골드 이렇게 구성하면 QHD 240hz 모니터로 배그 잘 돌아갈까요? 가격은 조립비 포함 265만원 정도 나왔습니다.,"WOW~! 완벽합니다!! 그대로 구성하시면 됩니다!! 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요! http://pf.kakao.com/_epfZb/chat 이미지 구분 상품명 할인가 판매가 수량 합계 || 메모리는 하이닉스 a 다이 언락 고수율 제품으로 구성하는 게 6000 클럭 expo 적용 호환성이 좋아 추천드립니다. 그래픽카드는 이엠텍 조텍 갤럭시 이노3d로 구성하는 게 as 가 좋은 편입니다. 메인보드 기본 ssd 방열판이 있어도 ssd 방열판은 기본 방열판으로 쓰셔도 충분합니다. 미니샵 견적달인 coke_bear 님의 견적입니다. LV. 13020 118 구매 2 0 리뷰 8055 73 견적 422 3 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩(정품)) 1 520,000원 547,660원 2 메인보드 ASRock B650M PG Riptide 대원씨티에스 1 205,950원 218,870원"
6,피씨 조립견적내다 궁금증이 생겼습니다,2024.06.26 15:09,그래픽카드 제외하고 다 마쳤는데요 제가 고민을 가지고 있는 부분은 4070 슈퍼인데 투펜이 있고 쓰리 팬이 있더라고요 가격은 투 팬이 더 저렴하던데 그래서 투 펜으로 가야 할지 아니면 쓰리 펜으로 가야 할지 고민이 되어서 글을 남깁니다,"RTX 4070 / RTX 4070 SUPER 이상 라인업에서 2팬, 3팬 제품 간의 발열, 소음적인 부분에서 차이가 발생하다 보니 가급적 3팬 제품으로 구성해 주시는 편을 추천드립니다. || 2팬과 3팬은 소음이나 발열부분에서 조금 다를뿐 2팬으로 한다고 해서 발열에 문제가 되서 그래픽카드가 안된다거나 문제가 생기진 않기 때문에 사용하시는 예산에 맞춰서 구성을 해주시면 됩니다 ^^"
7,메인보드 질문드립니다.,2024.06.26 15:05,"안녕하세요 메인보드 구매 관련하여 질문 드립니다. VM 용도로 그래픽카드는 안넣으려고 하고 구성은 아래와 같이 구성하고 있습니다. 메인보드 구매에 있어 2가지 중 어떤거를 사야할지 고민이 되어 질문 드립니다. 1. [MSI] MAG B650 토마호크 WIFI (AMD B650/ATX) / 309,000원 2. [ASUS] ROG STRIX B650E-E GAMING WIFI STCOM (AMD B650E/ATX) / 422,500원 이 두가지 중 어떤 메인보드를 사는게 더 좋을지 문의 드립니다. [구성] 용도 : VM CPU : 라이젠 7900 RAM : [삼성전자] 삼성 DDR5 PC5-44800 [32GB] (5600) SSD : [SK hynix] Platinum P41 M.2 NVMe 2280 [1TB TLC]","MSI] MAG B650 토마호크 WIFI (AMD B650/ATX) 으로 구성해주셔도 아주 충분합니다! 오히려 메인보드를 조금 더 낮게 잡아주셔도 되요~ 메모리의 경우에는 DDR5 시스템에서 삼성칩셋의 안정성이 떨어지기에 다른 칩셋으로 추천을 드립니다! -------------------- 아래 카카오톡 채널으로 문의를 남겨주시면 더 자세하게 견적상담을 드리도록 하겠습니다! 카카오채널: https://pf.kakao.com/_ErDGxj / 웹사이트 : 08dragon.com 이미지 카테고리 상품명 수량 가격 합계 CPU AMD 라이젠9-5세대 7900 (라파엘) (멀티팩(정품)) 1 541,680원 541,680원 || 해당 용도라면 그냥 ASRock B650M PG Riptide 정도로만 구성해 주셔도 충분한 부분입니다. 꼭 저 2가지 중에서 고르셔야 한다면 ""MSI MAG B650 토마호크 WIFI"" 해당 보드로만 구성해 주셔도 차고 넘치는 수준입니다. 메모리는 필수로 변경해 주시는 게 좋을 듯 합니다. https://quasarzone.com/bbs/qf_hwjoin/views/1966125 위 링크 보시는 것처럼 PC 1대당 3시간 이상 정밀 테스트를 진행하고 있는 입장으로써 지금까지 테스트 후, 출고되는 모든 PC들 데이터를 종합해서 말씀드리자면 DDR5 기준 SK하이닉스 칩셋 기반 메모리가 가장 안정성이 높고 호환성이 좋습니다. 가급적 SK하이닉스 칩셋 기반의 메모리로 구성하시는 편을 추천드립니다. 5600 CL46 기준 하이닉스 칩셋 기반 메모리 목록 SK하이닉스, ESSENCORE, PATRIOT, TeamGroup, GeIL"
8,70만원대 PC견적 추천 부탁드립니다!,2024.06.26 15:05,아는 분 아드님이 이제 중학생이라 발로란트를 하고싶어해서 컴퓨터를 맞추려고 합니다. 70만원대로 원활하게 돌아가는 견적이 가능할까요?ㅠ 그래픽카드가 최근에는 얼마인지 몰라서 좀 걱정입니다 ㅠ,"안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 고주사율로 쾌적하게 플레이 하신다면 70만원대가 조금 넘는 견적이지만 AMD 라이젠 5600 + 라데온 RX 6600 제품으로 구성을 해주셔도 좋을 듯 합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || 못해도 5600에 rx 6600 정도는 구성해주셔야 그래도 중옵 이상 가능할거라 예산을 좀 더 쓰시는 게 좋을 것 같습니다. 미니샵 견적달인 coke_bear 님의 견적입니다. LV. 13020 118 구매 2 0 리뷰 8055 73 견적 422 3 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠5-4세대 5600 (버미어) (멀티팩(정품)) 1 127,950원 133,150원 2 메인보드 ASUS PRIME A520M-A II 대원CTS 1 81,510원 84,540원 3 메모리 마이크론 Crucial DDR4-3200 CL22 대원씨티에스 (8GB) 2 44,260원 46,320원"
9,5700X3D 기준 다른부품 추천 부탁드립니다,2024.06.26 14:53,안녕하세요 현재사양은 i5 8500 1070ti 8+8 16g 풀hd 144 입니다 카페 검색해보니 5700x3d로시퓨는 정했습니다 컴알못이라 나머지 부품들은 뭐로 하는지 몰라서요 가성비좋은 부품들 추천부탁드립니다 신품 중고 섞어서 구입할생각도 있습니다 게임자체는 칠남매를 (막내가 37일) 키우다 보니까 하루에 캐주얼3판 1주일에 3일 정도합니다 많이 하는것도 아니고 즐겜 유저라서 가성비 좋게 부탁드려요 아 그리고 배틀그라운드 유저입니다 카페에 추천글 부탁드렷더니 요기를 알려주셔서 가입하엿구요 카페분들은 새로구입하는거면 am5쪽으로 가시라고하는대 5700x3d 세팅으로도 충분할것같아서 am4 쪽으로 추천부탁드립니다,안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 가성비 있는견적으로 배그하시는거라면 FHD 해상도 기준으로 AMD 라이젠 5600 + RTX 4060 제품으로 구성을 해주셔도 무방합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || CPU는 구입을 해주셨을까요?
10,마크 24시간 서버 컴퓨터 견적 질문,2024.06.26 14:52,마크 플러그인 서버랑 모드서버 종종 여는데 열때마다 호스팅하기 힘들어서 이참에 서버컴으로 견적 한번 맞춰볼까하는데 플러그인서버 열떄는 플러그인 100개정도 넣고 최대 접속 인원은 30명정도 되구요 모드서버는 최대 400개 모드 넣을때도 있는데 최대접속인원 10명정도 입니다. 예산이 70만원 안으로 잡아봤는데 CPU: Intel Core i5-12400T 메인보드: ASUS PRIME B660M-A D4 메모리: 32GB DDR4-3200MHz (16GB x 2) 파워서플라이: Seasonic Focus GX-550 하드: 기존에 쓰던 500G SSD 이렇게 견적 혼자 잡아봤는데 고수님들의 고견을 듣고자 질문드립니다. * 예산보다는 위에 적힌 스펙에 맞춰서 서버 스펙이 더 중요하니 예산을 넘어가더라도 말씀해주시면 감사하겠습니다.,버킷을 구동하실때 메모리는 몇GB정도로 할당하시나요? || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 말씀해주신 견적으로 견적 구성 도와드릴게요 ^^ 금액대가 B760과 660 차이가 크게 나지않아 760제품구성으로 구성을 해주셔도 좋을 듯 합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다.
